topic,score
area51,
bigil,0.006198496
bolsonaro27,0.020432548
bolsonaro28,
bolsonaro30,0.005202388
germanwings,0.050468094
halsey,0.000699495
impeachment-5-10,0.165568561
kavanaugh02-05,0.001595541
kavanaugh06-08,0.028434501
kavanaugh16,0.008564651
kingjacksonday,
lula_moro_chats,0.000831427
macri-05-11abril,0.131770099
macri-1-10enero,0.021730368
macri-11-18marzo,0.060013948
macri-20-27marzo,0.051019265
macri05-11mayo,0.078553704
messicumple,0.002906587
mothersday,
nepal,0.009745555
netanyahu,0.036004851
nintendo,
notredam,0.00020528
onedirection,0.010564019
sxsw,0.092339052
ukraine,0.071448424
ultralive,0.159514153
VanduMuruganAJITH,0.00231272
wrestlemania,0.000263777
