topic,score
area51,0.0001534341765412121
bigil,0.028588403058664016
bolsonaro27,0.3909872488684131
bolsonaro28,0.3001409521855143
bolsonaro30,0.46498751103972563
germanwings,0.035782975766152636
halsey,0.07240700241706823
impeachment-5-10,0.5017927233096552
kavanaugh02-05,0.27154853354440217
kavanaugh06-08,0.31448865758383493
kavanaugh16,0.2892745505263163
kingjacksonday,
lula_moro_chats,0.4287480928326896
messicumple,0.19140729458321235
mothersday,0.007098448479845659
nepal,
netanyahu,0.09315956908001727
nintendo,0.1375319032788628
notredam,0.00010969647562022944
onedirection,0.14819748257596535
sxsw,0.11466219042887629
ukraine,0.27533051538924347
ultralive,0.052651424933300994
wrestlemania,0.032766041460854524
