topic,score
area51,0.9903490712622653
bigil,0.9819838633490384
bolsonaro27,0.9916623322032388
bolsonaro28,0.9240475621957869
bolsonaro30,0.9934551051028413
germanwings,0.8987212262898037
halsey,0.9081819031160991
impeachment-5-10,0.9970003731938931
kavanaugh02-05,0.9613751920442118
kavanaugh06-08,0.9938574020788825
kavanaugh16,0.9903338920339568
kingjacksonday,0.5727432419487914
lula_moro_chats,0.9917990088779859
macri-05-11abril,0.9953171450064607
macri-1-10enero,0.991036886313533
macri-11-18marzo,0.9814179060306617
macri-20-27marzo,0.9809950015795068
macri05-11mayo,0.9926158134409794
messicumple,0.9297755283910922
mothersday,0.9340682096236251
nepal,0.9954073591803362
netanyahu,0.9675045153826114
nintendo,0.7310047484057216
notredam,0.3636695803546505
onedirection,0.9973820174255076
sxsw,0.9941886641907205
ukraine,0.9873060530225398
ultralive,0.9080573673089368
VanduMuruganAJITH,0.9969038312149174
wrestlemania,0.9907164107581248
