topic,score
area51,0.9700746524253502
bigil,0.9970589916365722
bolsonaro27,0.08877047088496821
bolsonaro28,0.12150379555127797
bolsonaro30,0.06803254217178281
germanwings,0.09103525788697736
halsey,0.9814587552585626
impeachment-5-10,0.212605833458767
kavanaugh02-05,0.05915073776620969
kavanaugh06-08,0.16112111530527543
kavanaugh16,0.06408176820075666
kingjacksonday,0.9994619336746832
lula_moro_chats,0.040724741697959706
messicumple,0.3160135112970524
mothersday,0.6751216375253302
nepal,0.28477135225835976
netanyahu,0.45642454141638317
nintendo,0.6027292644928933
notredam,0.8653111486555922
onedirection,0.47368139743801424
sxsw,0.4484146953423715
ukraine,0.1625926042274159
ultralive,0.5792882647885174
VanduMuruganAJITH,0.997269869394742
wrestlemania,0.9839008000362499
