topic,score
area51,1.0365686168461374
bigil,0.9949971137325909
bolsonaro27,0.09872521401350594
bolsonaro28,0.5234254072028632
bolsonaro30,0.37389295863450334
germanwings,0.10575972743964941
halsey,0.14036123622249097
impeachment-5-10,0.31599074594729426
kavanaugh02-05,0.9916542086937905
kavanaugh06-08,0.5280108274803086
kavanaugh16,0.9987964356131007
kingjacksonday,0.9991967140887825
lula_moro_chats,0.06045531001110785
macri-05-11abril,0.14382522671590323
macri-1-10enero,0.1507011898085843
macri-11-18marzo,0.3132056785473269
macri-20-27marzo,0.22858378018021105
macri05-11mayo,0.09598446389133772
messicumple,0.3507881058452818
mothersday,0.3379478409086886
nepal,0.32483827393587805
netanyahu,0.08790129529730828
nintendo,0.22497616503319792
notredam,1.3163011404000855
onedirection,0.41521068539975337
sxsw,0.41409923019455974
ukraine,0.33045258345959583
ultralive,0.5219884992435792
VanduMuruganAJITH,0.9981269858350076
wrestlemania,0.9970729290880803
